system:index,elevation,.geo
1363_0,70,
1364_0,266,
1365_0,66,
1366_0,3876,
1367_0,1462,
1368_0,65,
1369_0,217,
1370_0,390,
1371_0,-33,
1372_0,1606,
1373_0,1011,
1376_0,841,
1377_0,125,
1378_0,690,
1379_0,1190,
1380_0,796,
1381_0,1703,
1383_0,997,
1384_0,1,
1386_0,755,
1387_0,8,
1388_0,856,
1389_0,737,
1390_0,899,
1391_0,2555,
1392_0,46,
1393_0,824,
1394_0,782,
1395_0,1417,
1396_0,2400,
1397_0,1019,
1398_0,659,
1399_0,75,
1400_0,892,
1401_0,182,
1402_0,739,
1403_0,1,
1404_0,173,
1405_0,563,
1406_0,2187,
1408_0,214,
1409_0,-24,
1411_0,1194,
1412_0,191,
1413_0,87,
1415_0,631,
1416_0,1271,
1417_0,695,
1418_0,1296,
1419_0,803,
1420_0,996,
1421_0,75,
1422_0,440,
1423_0,17,
1424_0,881,
1425_0,644,
1426_0,1697,
1427_0,858,
1428_0,274,
1429_0,739,
1430_0,193,
1432_0,734,
1433_0,765,
1434_0,1874,
1435_0,53,
1436_0,323,
1437_0,108,
1438_0,1312,
1439_0,680,
1440_0,1143,
1441_0,750,
1442_0,222,
1443_0,75,
1444_0,19,
1445_0,2289,
1446_0,386,
1447_0,1031,
1448_0,6,
1449_0,983,
1450_0,853,
1452_0,2253,
1453_0,243,
1454_0,1172,
1455_0,857,
1456_0,1965,
1457_0,959,
1458_0,1194,
1459_0,272,
1460_0,393,
1461_0,16,
1462_0,793,
1463_0,327,
1464_0,790,
1465_0,748,
1466_0,1033,
1468_0,1286,
1469_0,917,
1470_0,478,
1471_0,1000,
1472_0,1721,
1473_0,156,
1474_0,787,
1475_0,129,
1476_0,676,
1477_0,715,
1479_0,496,
1480_0,1274,
1481_0,1442,
1482_0,25,
1483_0,1487,
1484_0,255,
1485_0,1513,
1486_0,2511,
1487_0,363,
1489_0,2152,
1490_0,1163,
1491_0,169,
1492_0,2,
1493_0,885,
1494_0,167,
1495_0,1328,
1496_0,1747,
1499_0,569,
1500_0,522,
1502_0,1333,
1503_0,1697,
1505_0,1303,
1506_0,1997,
1507_0,83,
1508_0,1636,
1509_0,942,
1510_0,251,
1511_0,40,
1512_0,250,
1514_0,501,
1515_0,1154,
1518_0,1863,
1519_0,1731,
1520_0,38,
1521_0,689,
1523_0,1795,
1525_0,383,
1526_0,156,
1527_0,59,
1528_0,405,
1529_0,1982,
1530_0,103,
1531_0,1617,
1532_0,691,
1533_0,1864,
1534_0,701,
1535_0,540,
1536_0,365,
1537_0,326,
1538_0,2132,
1539_0,942,
1540_0,548,
1541_0,187,
1542_0,1631,
1543_0,94,
1544_0,83,
1545_0,1370,
1546_0,299,
1547_0,848,
1548_0,1535,
1550_0,-26,
1551_0,377,
1552_0,49,
1553_0,1978,
1554_0,2106,
1555_0,2747,
1556_0,14,
1557_0,1552,
1558_0,821,
1559_0,103,
1560_0,768,
1561_0,2085,
1562_0,1364,
1563_0,63,
1565_0,377,
1566_0,153,
1567_0,1556,
1568_0,16,
1569_0,48,
1570_0,39,
1572_0,1330,
1573_0,378,
1574_0,848,
1575_0,561,
1576_0,217,
1577_0,225,
1578_0,1570,
1579_0,543,
1580_0,1617,
1581_0,1089,
1582_0,1021,
1583_0,1319,
1584_0,190,
1585_0,1366,
1586_0,1076,
1587_0,1716,
1588_0,724,
1589_0,2376,
1591_0,3581,
1592_0,1293,
1593_0,402,
1594_0,1706,
1595_0,305,
1596_0,1829,
1597_0,970,
1598_0,699,
1599_0,2046,
1600_0,31,
1601_0,916,
1602_0,1172,
1603_0,1390,
1604_0,1782,
1605_0,904,
1606_0,180,
1607_0,384,
1608_0,119,
1609_0,1241,
1610_0,471,
1611_0,969,
1612_0,1275,
1613_0,1876,
1614_0,-3,
1615_0,2108,
1616_0,1742,
1617_0,329,
1618_0,1434,
1619_0,1393,
1620_0,1926,
1621_0,495,
1622_0,258,
1624_0,265,
1626_0,849,
1627_0,454,
1628_0,74,
1629_0,1487,
1632_0,1233,
1633_0,109,
1634_0,1100,
1635_0,1800,
1636_0,2834,
1637_0,1739,
1640_0,201,
1641_0,58,
1642_0,2371,
1643_0,21,
1644_0,30,
1645_0,2196,
1646_0,1370,
1647_0,719,
1648_0,249,
1649_0,920,
1650_0,0,
1652_0,821,
1653_0,1186,
1654_0,980,
1655_0,38,
1656_0,213,
1657_0,171,
1658_0,3964,
1660_0,841,
1661_0,227,
1662_0,1554,
1663_0,421,
1664_0,2036,
1665_0,338,
1666_0,995,
1667_0,848,
1668_0,292,
1669_0,696,
1670_0,1615,
1671_0,817,
1672_0,121,
1673_0,637,
1674_0,106,
1675_0,315,
1676_0,474,
1677_0,1334,
1678_0,621,
1679_0,3571,
1680_0,2503,
1681_0,1825,
1682_0,1736,
1683_0,3487,
1685_0,980,
