Date,Time,NadirX-NAD83,NadirY-NAD83,Depth
6/6/2016,15:02:23,376562.0504,4625406.911,3.7
6/6/2016,15:02:24,376560.4104,4625404.541,3.6
6/6/2016,15:02:25,376558.7704,4625402.171,3.5
6/6/2016,15:02:26,376557.1304,4625399.811,3.5
6/6/2016,15:02:27,376555.5004,4625397.461,3.5
6/6/2016,15:02:28,376553.8704,4625395.111,3.2
6/6/2016,15:02:29,376552.2504,4625392.791,3.2
6/6/2016,15:02:30,376550.6404,4625390.491,3.3
6/6/2016,15:02:31,376549.0504,4625388.211,3.3
6/6/2016,15:02:32,376547.4804,4625385.961,3.4
6/6/2016,15:02:33,376545.9204,4625383.731,3.3
6/6/2016,15:02:34,376544.3704,4625381.511,3.2
6/6/2016,15:02:35,376542.8304,4625379.321,3.5
6/6/2016,15:02:36,376541.3004,4625377.131,3.3
6/6/2016,15:02:37,376539.7704,4625374.941,3.1
6/6/2016,15:02:38,376538.2404,4625372.761,3.2
6/6/2016,15:02:39,376536.7104,4625370.581,3.3
6/6/2016,15:02:40,376535.1704,4625368.391,2.7
6/6/2016,15:02:42,376533.6204,4625366.181,3
6/6/2016,15:02:43,376532.0604,4625363.961,2.9
